date,equity,cash,positions
2024-01-02,99950.02498750624,0.0,5
2024-01-03,99907.55926547266,0.0,5
2024-01-04,100033.4877302273,0.0,5
2024-01-05,99873.78665212338,0.0,5
2024-01-08,100549.4346491805,0.0,5
2024-01-09,99999.34877373464,84.83162588123758,5
2024-01-10,100371.85474294265,84.83162588123758,5
2024-01-11,100344.44887970544,84.83162588123758,5
2024-01-12,101063.18019311807,84.83162588123758,5
2024-01-16,101032.02717986409,84.83162588123758,5
2024-01-17,100685.90952555883,0.0,5
2024-01-18,101004.94896864097,0.0,5
2024-01-19,101472.59265728702,0.0,5
2024-01-22,101412.01351595313,0.0,5
2024-01-23,101955.98584110703,0.0,5
2024-01-24,99739.35653734373,0.0,5
2024-01-25,100313.58322285725,0.0,5
2024-01-26,100074.661979265,0.0,5
2024-01-29,100846.2344563145,0.0,5
2024-01-30,101461.74392612903,0.0,5
2024-01-31,100229.66734117773,0.0,5
2024-02-01,102302.8204686451,0.0,5
2024-02-02,101846.15381618013,0.0,5
2024-02-05,101046.73496035728,0.0,5
2024-02-06,102320.78238751205,0.0,5
2024-02-07,102489.08498218922,0.0,5
2024-02-08,102530.17920431083,0.0,5
2024-02-09,101788.30314382268,0.0,5
2024-02-12,102413.26705825244,0.0,5
2024-02-13,101732.30993566132,0.0,5
2024-02-14,101825.25264401402,209.38235929310665,5
2024-02-15,102563.43815483627,209.38235929310665,5
2024-02-16,102512.89313443234,209.38235929310665,5
2024-02-20,103125.54192208465,209.38235929310665,5
2024-02-21,103400.74481722423,209.38235929310665,5
2024-02-22,104594.98525357762,0.0,5
2024-02-23,105216.81549870718,0.0,5
2024-02-26,104966.7825283948,0.0,5
2024-02-27,105047.39903604558,0.0,5
2024-02-28,105085.91910700881,0.0,5
2024-02-29,104513.99133069359,0.0,5
2024-03-01,104899.67879315375,0.0,5
2024-03-04,105550.39922141923,0.0,5
2024-03-05,105808.03947971949,0.0,5
2024-03-06,106576.20756073185,0.0,5
2024-03-07,107279.0547258177,0.0,5
2024-03-08,107438.92676540086,0.0,5
2024-03-11,108164.1806685763,0.0,5
2024-03-12,108081.04439666717,0.0,5
2024-03-13,107764.37556838462,0.0,5
2024-03-14,107559.66775510581,0.0,5
2024-03-15,107816.99474481362,0.0,5
2024-03-18,107594.85716606415,0.0,5
2024-03-19,108422.69655031474,0.0,5
2024-03-20,108400.34115640138,0.0,5
2024-03-21,108588.8895965443,0.0,5
2024-03-22,108276.89193505025,0.0,5
2024-03-25,107778.1812895943,0.0,5
2024-03-26,107879.19826807475,0.0,5
2024-03-27,108999.76406202634,0.0,5
2024-03-28,108897.09024603132,0.0,5
2024-04-01,108150.65949747295,0.0,5
2024-04-02,107559.88202662733,0.0,5
2024-04-03,106771.0548935003,0.0,5
2024-04-04,106100.23134014451,0.0,5
2024-04-05,106810.71222437045,0.0,5
2024-04-08,106472.89465364923,0.0,5
2024-04-09,106828.2818556943,0.0,5
2024-04-10,106840.13482128084,0.0,5
2024-04-11,106386.19384425481,0.0,5
2024-04-12,105432.52307005406,0.0,5
2024-04-15,105079.84593369119,0.0,5
2024-04-16,104894.25553420455,0.0,5
2024-04-17,105196.48064061652,0.0,5
2024-04-18,105332.74396493954,0.0,5
2024-04-19,106383.48555365729,0.0,5
2024-04-22,107412.30425893566,0.0,5
2024-04-23,106506.47251890946,0.0,5
2024-04-24,107649.23367557194,0.0,5
2024-04-25,107771.82783566635,0.0,5
2024-04-26,107893.09854292049,0.0,5
2024-04-29,108121.13569328861,0.0,5
2024-04-30,106125.88287798145,0.0,5
2024-05-01,105530.61550637346,0.0,5
2024-05-02,104299.80859980431,0.0,5
2024-05-03,104374.57936809181,732.9356713791295,5
2024-05-06,104765.80467128004,732.9356713791295,5
2024-05-07,105542.76566381883,732.9356713791295,5
2024-05-08,105708.2526757341,732.9356713791295,5
2024-05-09,106367.95876819715,732.9356713791295,5
2024-05-10,107243.36450129528,0.0,5
2024-05-13,107253.77858011,0.0,5
2024-05-14,107201.91443203692,0.0,5
2024-05-15,107550.4318192189,0.0,5
2024-05-16,107097.14362320208,0.0,5
2024-05-17,106728.3178954919,0.0,5
2024-05-20,106306.59924282781,0.0,5
2024-05-21,106758.50701717944,0.0,5
2024-05-22,107161.17139573129,0.0,5
2024-05-23,106000.84320310527,0.0,5
2024-05-24,105813.82024735691,0.0,5
2024-05-28,104614.1526144652,0.0,5
2024-05-29,103813.1668282175,0.0,5
2024-05-30,104773.75681781881,0.0,5
2024-05-31,106737.06805395396,0.0,5
2024-06-03,107121.28644398278,205.31419910282222,5
2024-06-04,107887.82265390207,205.31419910282222,5
2024-06-05,107967.76868902342,205.31419910282222,5
2024-06-06,108405.98697690213,205.31419910282222,5
2024-06-07,108190.94701025232,205.31419910282222,5
2024-06-10,107891.09903012129,0.0,5
2024-06-11,107792.24170690171,0.0,5
2024-06-12,106955.76113222947,0.0,5
2024-06-13,107201.27777807548,0.0,5
2024-06-14,106835.97533834059,0.0,5
2024-06-17,107219.11343938888,0.0,5
2024-06-18,107402.86146928315,0.0,5
2024-06-20,106833.88740977985,0.0,5
2024-06-21,107084.02643494973,0.0,5
2024-06-24,107662.2961383988,0.0,5
2024-06-25,107241.67068582465,0.0,5
2024-06-26,106745.85411482403,0.0,5
2024-06-27,106272.43368652648,0.0,5
2024-06-28,106265.39338928458,0.0,5
2024-07-01,106137.66053880921,0.0,5
2024-07-02,106300.61734090144,0.0,5
2024-07-03,106263.34660407952,0.0,5
2024-07-05,106552.03257934446,0.0,5
2024-07-08,106429.35078791664,0.0,5
2024-07-09,106236.03310994028,0.0,5
2024-07-10,107205.60895380334,0.0,5
2024-07-11,108307.74079359678,0.0,5
2024-07-12,108970.57786142043,0.0,5
2024-07-15,108618.20554720718,0.0,5
2024-07-16,109867.22026425878,0.0,5
2024-07-17,110892.86419171277,89.47492688874836,5
2024-07-18,110444.07772046688,89.47492688874836,5
2024-07-19,109796.10579301443,89.47492688874836,5
2024-07-22,110502.44208081729,89.47492688874836,5
2024-07-23,110416.16573001689,89.47492688874836,5
2024-07-24,111275.52369698395,0.0,5
2024-07-25,110856.90692578407,0.0,5
2024-07-26,112200.85784764648,0.0,5
2024-07-29,112985.30454064328,0.0,5
2024-07-30,113658.46027480451,0.0,5
2024-07-31,112860.70615484007,0.0,5
2024-08-01,115141.32783910527,0.0,5
2024-08-02,115179.49162574788,0.0,5
2024-08-05,112377.07636695457,0.0,5
2024-08-06,113000.04420496628,0.0,5
