date,equity,cash,positions
2024-01-02,99950.02498750624,0.0,5
2024-01-03,97778.21490865537,0.0,5
2024-01-04,97731.43904662644,0.0,5
2024-01-05,98933.54070132358,0.0,5
2024-01-08,100980.62742744232,0.0,5
2024-01-09,101100.69500986388,0.0,5
2024-01-10,100936.80608832193,0.0,5
2024-01-11,100969.72256311613,0.0,5
2024-01-12,101060.44570728007,0.0,5
2024-01-16,102404.14968815204,0.0,5
2024-01-17,101729.81777219272,0.0,5
2024-01-18,103268.4219638211,0.0,5
2024-01-19,106049.13944389657,0.0,5
2024-01-22,105645.67406897915,0.0,5
2024-01-23,105560.0908502857,0.0,5
2024-01-24,106754.98843191471,0.0,5
2024-01-25,108277.42809779386,0.0,5
2024-01-26,108231.69449119373,0.0,5
2024-01-29,109005.6809476573,0.0,5
2024-01-30,108173.56807043361,0.0,5
2024-01-31,106716.84847958376,0.0,5
2024-02-01,108129.53171602542,0.0,5
2024-02-02,110339.64395955871,0.0,5
2024-02-05,110878.93924623914,0.0,5
2024-02-06,109587.52755090117,0.0,5
2024-02-07,112258.525920123,0.0,5
2024-02-08,112336.44881717248,0.0,5
2024-02-09,113504.70486195642,0.0,5
2024-02-12,112358.12957491334,0.0,5
2024-02-13,111443.92880136991,0.0,5
2024-02-14,115986.72661489663,0.0,5
2024-02-15,116917.15737841159,0.0,5
2024-02-16,115637.14521174917,0.0,5
2024-02-20,112940.28833202952,0.0,5
2024-02-21,111783.03141475764,0.0,5
2024-02-22,117631.90403876902,0.0,5
2024-02-23,117919.13246339382,0.0,5
2024-02-26,118234.72271326848,0.0,5
2024-02-27,118159.851246812,0.0,5
2024-02-28,117420.2429592689,0.0,5
2024-02-29,118737.87061802883,771.0173696735271,5
2024-03-01,121985.14226494113,771.0173696735271,5
2024-03-04,123025.59345066227,771.0173696735271,5
2024-03-05,121482.67165315399,771.0173696735271,5
2024-03-06,123247.01348430879,771.0173696735271,5
2024-03-07,126506.75400592358,0.0,5
2024-03-08,123265.11399535104,0.0,5
2024-03-11,121076.31869002245,0.0,5
2024-03-12,124120.29895631969,0.0,5
2024-03-13,122222.44642541559,0.0,5
2024-03-14,119811.51080024247,1320.9571520877241,5
2024-03-15,120850.17020924024,1320.9571520877241,5
2024-03-18,121665.22719707465,1320.9571520877241,5
2024-03-19,122117.3423454644,1320.9571520877241,5
2024-03-20,123810.76868309069,1320.9571520877241,5
2024-03-21,124758.26744035044,0.0,5
2024-03-22,124557.66760599718,0.0,5
2024-03-25,125894.9346654132,0.0,5
2024-03-26,125357.11931097522,0.0,5
2024-03-27,126145.98097746371,0.0,5
2024-03-28,125848.65195162337,0.0,5
2024-04-01,127675.2572556084,0.0,5
2024-04-02,127737.15977143982,0.0,5
2024-04-03,129591.29687061686,0.0,5
2024-04-04,128867.12084019011,0.0,5
2024-04-05,130327.74524489687,1701.9284134627521,5
2024-04-08,130129.16559087635,1701.9284134627521,5
2024-04-09,130575.35598952844,1701.9284134627521,5
2024-04-10,130324.37908152633,1701.9284134627521,5
2024-04-11,131542.54314596375,1701.9284134627521,5
2024-04-12,128820.08224247817,0.0,5
2024-04-15,128113.84554737565,0.0,5
2024-04-16,128116.73059256418,0.0,5
2024-04-17,127446.88825671063,0.0,5
2024-04-18,126330.71572813901,0.0,5
2024-04-19,124103.26394501749,0.0,5
2024-04-22,123056.534404516,0.0,5
2024-04-23,122955.9787109156,0.0,5
2024-04-24,123712.9007191796,0.0,5
2024-04-25,127536.89907408005,0.0,5
2024-04-26,126872.51166479784,0.0,5
2024-04-29,126182.52273330001,0.0,5
2024-04-30,122590.12874116268,0.0,5
2024-05-01,122503.30020606758,0.0,5
2024-05-02,123505.92945412947,0.0,5
2024-05-03,124435.13454277397,0.0,5
2024-05-06,124599.012673453,0.0,5
2024-05-07,125057.36453127058,0.0,5
2024-05-08,124436.66170792979,0.0,5
2024-05-09,124033.61193688094,0.0,5
2024-05-10,123004.12947667138,0.0,5
2024-05-13,123087.92143413998,0.0,5
2024-05-14,124176.34534003548,0.0,5
2024-05-15,126199.11658088579,0.0,5
2024-05-16,125679.13827747227,0.0,5
2024-05-17,125760.92602117575,0.0,5
2024-05-20,127919.07403974605,0.0,5
2024-05-21,129857.04343553864,0.0,5
2024-05-22,129763.5606322703,0.0,5
2024-05-23,130217.73867260212,0.0,5
2024-05-24,133473.5265368207,0.0,5
2024-05-28,135560.41146276394,0.0,5
2024-05-29,134671.2928906352,0.0,5
2024-05-30,133844.8283036931,0.0,5
2024-05-31,134346.48431223622,0.0,5
2024-06-03,135496.79180158506,0.0,5
2024-06-04,135588.056065887,0.0,5
2024-06-05,138920.74897169808,0.0,5
2024-06-06,137771.84630407515,0.0,5
2024-06-07,137959.10896043607,0.0,5
2024-06-10,139867.30745987615,456.9209579433531,5
2024-06-11,139488.82082096313,456.9209579433531,5
2024-06-12,142837.39784023553,456.9209579433531,5
2024-06-13,145408.62548252626,456.9209579433531,5
2024-06-14,144081.02019250178,456.9209579433531,5
2024-06-17,146094.29875551566,468.4472821751482,5
2024-06-18,148985.01110684196,468.4472821751482,5
2024-06-20,142709.57734429685,468.4472821751482,5
2024-06-21,138956.19418608586,468.4472821751482,5
2024-06-24,133749.1501631475,468.4472821751482,5
2024-06-25,136619.56180112995,0.0,5
2024-06-26,136877.8363221716,0.0,5
2024-06-27,137268.7062577955,0.0,5
2024-06-28,137452.5432247794,0.0,5
2024-07-01,138270.21944788686,0.0,5
2024-07-02,138532.41351754958,424.8159034552564,5
2024-07-03,141597.40390459658,424.8159034552564,5
2024-07-05,142970.30204704334,424.8159034552564,5
2024-07-08,142367.2426742769,424.8159034552564,5
2024-07-09,141222.7638061156,424.8159034552564,5
2024-07-10,141635.0827804035,0.0,5
2024-07-11,137296.9615032837,0.0,5
2024-07-12,138368.0323905152,0.0,5
2024-07-15,139592.68158492685,0.0,5
2024-07-16,139425.53025815453,0.0,5
2024-07-17,132593.9051350414,0.0,5
2024-07-18,130852.71370466566,0.0,5
2024-07-19,129300.68760159725,0.0,5
2024-07-22,130155.51580948525,0.0,5
2024-07-23,128922.93560515798,0.0,5
2024-07-24,126657.16131290885,0.0,5
2024-07-25,127213.8188756585,0.0,5
2024-07-26,128824.26872143635,0.0,5
2024-07-29,130818.7340834983,0.0,5
2024-07-30,130646.88547165909,0.0,5
2024-07-31,132732.12047510655,0.0,5
2024-08-01,132974.5333305514,0.0,5
2024-08-02,132888.05370119124,0.0,5
2024-08-05,130101.74143060856,0.0,5
2024-08-06,130355.58225021612,0.0,5
2024-08-07,129500.09383870091,0.0,5
2024-08-08,130391.62876004068,0.0,5
2024-08-09,130158.21003849989,0.0,5
2024-08-12,130863.3967330136,0.0,5
2024-08-13,132002.88062144973,0.0,5
2024-08-14,132615.80710286382,0.0,5
2024-08-15,133870.30856833022,0.0,5
2024-08-16,133408.55166958866,0.0,5
2024-08-19,132969.1614350444,0.0,5
2024-08-20,133059.35159842478,0.0,5
2024-08-21,133060.14350453013,334.1008753411682,5
2024-08-22,131993.72621515728,334.1008753411682,5
2024-08-23,133164.7941322327,334.1008753411682,5
2024-08-26,133066.8348669044,334.1008753411682,5
2024-08-27,133819.35137196182,334.1008753411682,5
2024-08-28,130765.82868619735,0.0,5
2024-08-29,130929.61416188412,0.0,5
2024-08-30,132287.12672385786,0.0,5
2024-09-03,130323.13267723337,0.0,5
2024-09-04,129336.46789389414,0.0,5
2024-09-05,127898.90718788077,0.0,5
2024-09-06,124121.8145980917,0.0,5
2024-09-09,125585.74235697728,0.0,5
2024-09-10,127116.94960855893,0.0,5
2024-09-11,129431.07017533886,0.0,5
2024-09-12,130867.44444832188,0.0,5
2024-09-13,131983.78157071478,0.0,5
2024-09-16,133289.17466781283,0.0,5
2024-09-17,132115.1204934537,0.0,5
2024-09-18,132258.5129401197,0.0,5
2024-09-19,134765.39299249227,0.0,5
2024-09-20,135747.3491870666,0.0,5
2024-09-23,134456.53482838138,0.0,5
2024-09-24,134135.3290254672,0.0,5
2024-09-25,132379.25454315337,0.0,5
2024-09-26,132631.7182678552,0.0,5
2024-09-27,132509.09129726555,0.0,5
2024-09-30,130755.76153455678,0.0,5
2024-10-01,128429.58982813852,0.0,5
2024-10-02,127357.98424196482,0.0,5
2024-10-03,126092.56059064466,0.0,5
2024-10-04,129100.14513931195,0.0,5
2024-10-07,128935.39408892197,0.0,5
2024-10-08,129168.38346911469,0.0,5
2024-10-09,130316.5058070285,0.0,5
2024-10-10,128925.78447318617,0.0,5
2024-10-11,130373.69169355911,0.0,5
2024-10-14,129589.84973620945,0.0,5
2024-10-15,126062.98382653735,0.0,5
