date,equity,cash,positions
2024-01-02,99950.02498750624,0.0,5
2024-01-03,97778.21710303785,0.0,5
2024-01-04,97731.4393746174,0.0,5
2024-01-05,98933.53878589973,0.0,5
2024-01-08,100980.63323528461,0.0,5
2024-01-09,101100.70213538749,0.0,5
2024-01-10,100936.79820355159,0.0,5
2024-01-11,100969.72748500855,0.0,5
2024-01-12,101060.45212399909,0.0,5
2024-01-16,102404.15318237382,0.0,5
2024-01-17,101729.82198475924,0.0,5
2024-01-18,103268.41763318052,0.0,5
2024-01-19,106049.13884496532,0.0,5
2024-01-22,105645.6776306037,0.0,5
2024-01-23,105560.09520101958,0.0,5
2024-01-24,106754.98783978951,0.0,5
2024-01-25,108277.42526743058,0.0,5
2024-01-26,108231.69033823683,0.0,5
2024-01-29,109005.67809996537,0.0,5
2024-01-30,108173.57343670752,0.0,5
2024-01-31,106716.84661874079,0.0,5
2024-02-01,108129.53118722528,0.0,5
2024-02-02,110339.64081087422,0.0,5
2024-02-05,110878.93880520153,0.0,5
2024-02-06,109587.52710852402,0.0,5
2024-02-07,112258.52547063783,0.0,5
2024-02-08,112336.44542511484,0.0,5
2024-02-09,113504.70440748372,0.0,5
2024-02-12,112358.12667897007,0.0,5
2024-02-13,111443.92688402289,0.0,5
2024-02-14,115986.72223414257,0.0,5
2024-02-15,116917.15837420586,0.0,5
2024-02-16,115637.14646415546,0.0,5
2024-02-20,112940.2828697064,0.0,5
2024-02-21,111783.02993490818,0.0,5
2024-02-22,117631.90004383508,0.0,5
2024-02-23,117919.13075597181,0.0,5
2024-02-26,118234.72098761603,0.0,5
2024-02-27,118159.85517446589,0.0,5
2024-02-28,117420.23783635125,0.0,5
2024-02-29,118737.86844394811,771.0181011962324,5
2024-03-01,121985.12640809375,771.0181011962324,5
2024-03-04,123025.58398557651,771.0181011962324,5
2024-03-05,121482.6678630772,771.0181011962324,5
2024-03-06,123247.00484997175,771.0181011962324,5
2024-03-07,126506.74741224996,0.0,5
2024-03-08,123265.11171344106,0.0,5
2024-03-11,121076.31662197232,0.0,5
2024-03-12,124120.29871490585,0.0,5
2024-03-13,122222.43919942429,0.0,5
2024-03-14,119811.50305185627,1320.9515050778125,5
2024-03-15,120850.16056780571,1320.9515050778125,5
2024-03-18,121665.22739687757,1320.9515050778125,5
2024-03-19,122117.34055363858,1320.9515050778125,5
2024-03-20,123810.76194113954,1320.9515050778125,5
2024-03-21,124758.25823494114,0.0,5
2024-03-22,124557.65097682957,0.0,5
2024-03-25,125894.92849646255,0.0,5
2024-03-26,125357.11403923537,0.0,5
2024-03-27,126145.97121940459,0.0,5
2024-03-28,125848.6432288024,0.0,5
2024-04-01,127675.24949867479,0.0,5
2024-04-02,127737.15364895407,0.0,5
2024-04-03,129591.28527748912,0.0,5
2024-04-04,128867.09920479933,0.0,5
2024-04-05,130327.7299201406,1701.9323221292998,5
2024-04-08,130129.16036152092,1701.9323221292998,5
2024-04-09,130575.33887184113,1701.9323221292998,5
2024-04-10,130324.37082467946,1701.9323221292998,5
2024-04-11,131542.52861769986,1701.9323221292998,5
2024-04-12,128820.07393289797,0.0,5
2024-04-15,128113.84082148594,0.0,5
2024-04-16,128116.72487783874,0.0,5
2024-04-17,127446.88247505605,0.0,5
2024-04-18,126330.70923559593,0.0,5
2024-04-19,124103.25266775694,0.0,5
2024-04-22,123056.53387495149,0.0,5
2024-04-23,122955.96584440928,0.0,5
2024-04-24,123712.88545952404,0.0,5
2024-04-25,127536.89069917556,0.0,5
2024-04-26,126872.50095141432,0.0,5
2024-04-29,126182.51208553828,0.0,5
2024-04-30,122590.1164604299,0.0,5
2024-05-01,122503.29372661284,0.0,5
2024-05-02,123505.91865296285,0.0,5
2024-05-03,124435.13116937157,0.0,5
2024-05-06,124598.99715163157,0.0,5
2024-05-07,125057.35604357833,0.0,5
2024-05-08,124436.64631844437,0.0,5
2024-05-09,124033.59906382038,0.0,5
2024-05-10,123004.11443735102,0.0,5
2024-05-13,123087.89285678638,0.0,5
2024-05-14,124176.32233866378,0.0,5
2024-05-15,126199.09215391596,0.0,5
2024-05-16,125679.1195681298,0.0,5
2024-05-17,125760.89849285774,0.0,5
2024-05-20,127919.05667336287,0.0,5
2024-05-21,129857.02567661449,0.0,5
2024-05-22,129763.54504057806,0.0,5
2024-05-23,130217.72120480663,0.0,5
2024-05-24,133473.51483587615,0.0,5
2024-05-28,135560.39251540718,0.0,5
2024-05-29,134671.28165402493,0.0,5
2024-05-30,133844.81266979637,0.0,5
2024-05-31,134346.47056933687,0.0,5
2024-06-03,135496.77802085006,0.0,5
2024-06-04,135588.04826550753,0.0,5
2024-06-05,138920.7384010901,0.0,5
2024-06-06,137771.83389362405,0.0,5
2024-06-07,137959.09900792988,0.0,5
2024-06-10,139867.3041559858,456.92554222251533,5
2024-06-11,139488.81162919113,456.92554222251533,5
2024-06-12,142837.39183807984,456.92554222251533,5
2024-06-13,145408.61821370586,456.92554222251533,5
2024-06-14,144081.0109790575,456.92554222251533,5
2024-06-17,146094.29622356128,468.44708863419515,5
2024-06-18,148985.0108768054,468.44708863419515,5
2024-06-20,142709.56238661683,468.44708863419515,5
2024-06-21,138956.19086227074,468.44708863419515,5
2024-06-24,133749.14570409054,468.44708863419515,5
2024-06-25,136619.55815332965,0.0,5
2024-06-26,136877.82129246317,0.0,5
2024-06-27,137268.69740958797,0.0,5
2024-06-28,137452.53880233993,0.0,5
2024-07-01,138270.20431082972,0.0,5
2024-07-02,138532.39859054695,424.8087772930415,5
2024-07-03,141597.38859757956,424.8087772930415,5
2024-07-05,142970.29239614346,424.8087772930415,5
2024-07-08,142367.2271222696,424.8087772930415,5
2024-07-09,141222.7511034295,424.8087772930415,5
2024-07-10,141635.0674553095,0.0,5
2024-07-11,137296.95167708135,0.0,5
2024-07-12,138368.01680592354,0.0,5
2024-07-15,139592.66772680654,0.0,5
2024-07-16,139425.51573460439,0.0,5
2024-07-17,132593.89307344265,0.0,5
2024-07-18,130852.6929342576,0.0,5
2024-07-19,129300.67651566256,0.0,5
2024-07-22,130155.50911371507,0.0,5
2024-07-23,128922.93010214591,0.0,5
2024-07-24,126657.16223762745,0.0,5
2024-07-25,127213.8115350122,0.0,5
2024-07-26,128824.26105028695,0.0,5
2024-07-29,130818.72825144394,0.0,5
2024-07-30,130646.88957953926,0.0,5
2024-07-31,132732.1211203972,0.0,5
2024-08-01,132974.53386635595,0.0,5
2024-08-02,132888.05332945564,0.0,5
2024-08-05,130101.73495739732,0.0,5
2024-08-06,130355.58485031515,0.0,5
2024-08-07,129500.08686646936,0.0,5
2024-08-08,130391.62574248666,0.0,5
2024-08-09,130158.2023844911,0.0,5
2024-08-12,130863.39044035767,0.0,5
2024-08-13,132002.87736566513,0.0,5
2024-08-14,132615.8033630714,0.0,5
2024-08-15,133870.29942163554,0.0,5
2024-08-16,133408.55040616094,0.0,5
2024-08-19,132969.16126581913,0.0,5
2024-08-20,133059.34745768234,0.0,5
2024-08-21,133060.13581666656,334.1047444888762,5
2024-08-22,131993.70680069245,334.1047444888762,5
2024-08-23,133164.78934460078,334.1047444888762,5
2024-08-26,133066.82934893758,334.1047444888762,5
2024-08-27,133819.3381502662,334.1047444888762,5
2024-08-28,130765.8294387052,0.0,5
2024-08-29,130929.61877717856,0.0,5
2024-08-30,132287.12920635566,0.0,5
2024-09-03,130323.13949619881,0.0,5
2024-09-04,129336.46815696037,0.0,5
2024-09-05,127898.90691017886,0.0,5
2024-09-06,124121.8141862652,0.0,5
2024-09-09,125585.7432947464,0.0,5
2024-09-10,127116.94667485036,0.0,5
2024-09-11,129431.06601063574,0.0,5
2024-09-12,130867.44903921326,0.0,5
2024-09-13,131983.79196769738,0.0,5
2024-09-16,133289.1792684869,0.0,5
2024-09-17,132115.13922356514,0.0,5
2024-09-18,132258.51999408408,0.0,5
2024-09-19,134765.4081450598,0.0,5
2024-09-20,135747.35614259192,0.0,5
2024-09-23,134456.53938280552,0.0,5
2024-09-24,134135.331136981,0.0,5
2024-09-25,132379.25896815126,0.0,5
2024-09-26,132631.72813454818,0.0,5
2024-09-27,132509.09715393634,0.0,5
2024-09-30,130755.77787480052,0.0,5
2024-10-01,128429.60372822804,0.0,5
2024-10-02,127357.99219488105,0.0,5
2024-10-03,126092.57880632285,0.0,5
2024-10-04,129100.15760381517,0.0,5
2024-10-07,128935.40054566639,0.0,5
2024-10-08,129168.39317553292,0.0,5
2024-10-09,130316.51743815097,0.0,5
2024-10-10,128925.79603453988,0.0,5
2024-10-11,130373.69916279157,0.0,5
2024-10-14,129589.86729318656,0.0,5
2024-10-15,126062.99529209264,0.0,5
2024-10-16,127576.6329515785,0.0,5
2024-10-17,128281.89153861957,0.0,5
2024-10-18,128875.61980373162,0.0,5
2024-10-21,128696.74498263824,0.0,5
2024-10-22,128616.62060844942,0.0,5
2024-10-23,126826.14659104553,0.0,5
2024-10-24,127558.76823041169,0.0,5
2024-10-25,126034.9844332861,0.0,5
2024-10-28,126894.56195012266,0.0,5
2024-10-29,126914.06777138123,0.0,5
2024-10-30,126217.89764647295,0.0,5
2024-10-31,124556.87507379989,743.3402072004385,5
2024-11-01,124761.20222134072,743.3402072004385,5
2024-11-04,123930.12269521061,743.3402072004385,5
2024-11-05,126224.70030703877,743.3402072004385,5
2024-11-06,135242.90014035112,743.3402072004385,5
2024-11-07,131892.47297673288,0.0,5
2024-11-08,134210.62965549782,0.0,5
2024-11-11,139383.9330626323,0.0,5
2024-11-12,136029.47668362956,0.0,5
2024-11-13,135699.4710854697,0.0,5
2024-11-14,133452.13930073555,0.0,5
2024-11-15,133522.32349283126,0.0,5
2024-11-18,134489.33515486366,0.0,5
2024-11-19,133979.9484406459,0.0,5
2024-11-20,134079.70908816654,0.0,5
2024-11-21,136229.51227279103,0.0,5
2024-11-22,138091.85003056788,0.0,5
2024-11-25,138450.02425158408,0.0,5
2024-11-26,139055.2758934145,0.0,5
2024-11-27,139275.57527136296,0.0,5
2024-11-29,140980.21470585023,0.0,5
2024-12-02,140252.72156586457,0.0,5
2024-12-03,138856.5393905907,0.0,5
2024-12-04,139272.51984543714,0.0,5
2024-12-05,140492.62916074868,0.0,5
2024-12-06,143744.6938618495,0.0,5
2024-12-09,141042.23914538286,0.0,5
2024-12-10,141223.82409846844,0.0,5
2024-12-11,145096.13977485616,0.0,5
2024-12-12,144087.58711069706,0.0,5
2024-12-13,144261.7427589172,0.0,5
2024-12-16,149929.15167322368,0.0,5
2024-12-17,150271.1609975283,0.0,5
2024-12-18,143716.46769252408,0.0,5
2024-12-19,143521.05705446991,0.0,5
2024-12-20,142860.09560838647,0.0,5
2024-12-23,146068.45835928348,0.0,5
2024-12-24,149891.05205314248,0.0,5
2024-12-26,150097.07994814453,0.0,5
2024-12-27,147281.4237014444,0.0,5
2024-12-30,144412.82338101615,0.0,5
2024-12-31,142458.67860815057,0.0,5
2025-01-02,139985.2616360348,0.0,5
2025-01-03,142620.14003783703,0.0,5
2025-01-06,144770.73868540808,0.0,5
2025-01-07,142521.21281136223,0.0,5
2025-01-08,141936.81735141008,0.0,5
2025-01-10,140622.95560999046,0.0,5
2025-01-13,140558.73195246357,0.0,5
2025-01-14,139946.2044578299,0.0,5
2025-01-15,142446.0028516227,0.0,5
2025-01-16,144549.66951227165,0.0,5
2025-01-17,145356.2347873288,0.0,5
2025-01-21,147150.00702733285,0.0,5
2025-01-22,147091.73632812884,0.0,5
2025-01-23,148864.7180170738,0.0,5
2025-01-24,146561.91080660332,0.0,5
2025-01-27,138901.90371192255,0.0,5
2025-01-28,137415.58593031744,0.0,5
2025-01-29,139347.36846031406,0.0,5
2025-01-30,143816.1337246878,0.0,5
2025-01-31,142313.61919299178,0.0,5
2025-02-03,142963.68681965958,0.0,5
2025-02-04,143483.2199936317,0.0,5
2025-02-05,144592.29939834177,0.0,5
2025-02-06,143115.83528468575,0.0,5
