date,equity,cash,positions
2024-01-02,99950.02498750624,0.0,5
2024-01-03,99650.48082115271,0.0,5
2024-01-04,100128.72244228066,0.0,5
2024-01-05,100940.55410873488,0.0,5
2024-01-08,101001.26586065644,0.0,5
2024-01-09,100576.97138167989,376.46657091674854,5
2024-01-10,100066.08714781508,376.46657091674854,5
2024-01-11,100665.18559608422,376.46657091674854,5
2024-01-12,100869.30866652654,376.46657091674854,5
2024-01-16,101252.38711226244,376.46657091674854,5
2024-01-17,100349.93648764656,0.0,5
2024-01-18,101173.44064837502,0.0,5
2024-01-19,102969.39485440456,0.0,5
2024-01-22,100946.34108807679,0.0,5
2024-01-23,101404.42362633442,0.0,5
2024-01-24,101286.20951576842,0.0,5
2024-01-25,103152.92394274451,0.0,5
2024-01-26,101918.93994326684,0.0,5
2024-01-29,102045.74187466888,0.0,5
2024-01-30,101650.21244749564,0.0,5
2024-01-31,100636.23688869459,0.0,5
2024-02-01,101832.49297985071,0.0,5
2024-02-02,106568.0183921842,0.0,5
2024-02-05,105933.1634356262,0.0,5
2024-02-06,106056.36888691889,0.0,5
2024-02-07,108413.75425591829,0.0,5
2024-02-08,108353.37273941905,0.0,5
2024-02-09,109364.7152420661,0.0,5
2024-02-12,107955.34863300447,0.0,5
2024-02-13,107127.55847664353,0.0,5
2024-02-14,110840.4232775525,0.0,5
2024-02-15,111006.84032960807,0.0,5
2024-02-16,110857.49638826701,0.0,5
2024-02-20,108539.17672503818,0.0,5
2024-02-21,102092.0197610322,0.0,5
2024-02-22,107207.22212405548,0.0,5
2024-02-23,104714.82473183767,0.0,5
2024-02-26,105376.78355913653,0.0,5
2024-02-27,105332.98776664892,0.0,5
2024-02-28,104237.54836738226,0.0,5
2024-02-29,105112.40337801968,0.0,5
2024-03-01,108687.14296810531,0.0,5
2024-03-04,109426.66214784507,0.0,5
2024-03-05,108127.93189795552,0.0,5
2024-03-06,108806.83438358552,0.0,5
2024-03-07,109765.49081501871,278.54112247874053,5
2024-03-08,106969.90199905384,278.54112247874053,5
2024-03-11,106002.60301982854,278.54112247874053,5
2024-03-12,108236.12284566138,278.54112247874053,5
2024-03-13,107187.46400045232,278.54112247874053,5
2024-03-14,105964.7970926098,0.0,5
2024-03-15,106478.02572207942,0.0,5
2024-03-18,107480.75325429096,0.0,5
2024-03-19,107846.57868002566,0.0,5
2024-03-20,109217.53473309851,0.0,5
2024-03-21,113395.878965073,0.0,5
2024-03-22,111640.0877292764,0.0,5
2024-03-25,111187.15314322666,0.0,5
2024-03-26,110733.36968041665,0.0,5
2024-03-27,113021.4666448594,0.0,5
2024-03-28,113091.06391050128,0.0,5
2024-04-01,112555.8220071106,0.0,5
2024-04-02,111530.14600160939,0.0,5
2024-04-03,113238.40282729224,0.0,5
2024-04-04,112983.26252995334,0.0,5
2024-04-05,115458.34437232706,0.0,5
2024-04-08,115570.83918775346,0.0,5
2024-04-09,116270.80908583297,0.0,5
2024-04-10,115059.48194961213,0.0,5
2024-04-11,114945.85153220469,0.0,5
2024-04-12,111906.2524076697,0.0,5
2024-04-15,111125.30899063172,0.0,5
2024-04-16,112036.08221418271,0.0,5
2024-04-17,109988.80731635197,0.0,5
2024-04-18,108677.18381883876,0.0,5
2024-04-19,106458.52305912053,0.0,5
2024-04-22,105744.41043278898,0.0,5
2024-04-23,107125.00660592581,0.0,5
2024-04-24,106957.05954138291,0.0,5
2024-04-25,110029.16267620082,0.0,5
2024-04-26,110273.44250215491,0.0,5
2024-04-29,110560.82631101609,0.0,5
2024-04-30,107661.30513472203,0.0,5
2024-05-01,107198.94301840958,0.0,5
2024-05-02,108306.78358770789,0.0,5
2024-05-03,109115.03850285099,466.4823480856491,5
2024-05-06,110831.7471828189,466.4823480856491,5
2024-05-07,111081.8865500882,466.4823480856491,5
2024-05-08,110585.86348123428,466.4823480856491,5
2024-05-09,110123.9301756937,466.4823480856491,5
2024-05-10,108791.22919540599,0.0,5
2024-05-13,108923.29206416028,0.0,5
2024-05-14,110055.61270315232,0.0,5
2024-05-15,112265.93510280274,0.0,5
2024-05-16,111611.66834948881,0.0,5
2024-05-17,111887.22444433844,307.9723958635167,5
2024-05-20,114011.5116871303,307.9723958635167,5
2024-05-21,115113.85869632415,307.9723958635167,5
2024-05-22,114577.19930904165,307.9723958635167,5
2024-05-23,115113.6152291564,307.9723958635167,5
2024-05-24,117560.90850817662,0.0,5
2024-05-28,118461.37576819236,0.0,5
2024-05-29,117910.66781843858,0.0,5
2024-05-30,117008.7238449952,0.0,5
2024-05-31,117335.36421121204,0.0,5
2024-06-03,119317.242011413,0.0,5
2024-06-04,119097.26791032996,0.0,5
2024-06-05,122623.60074227484,0.0,5
2024-06-06,121195.382267524,0.0,5
2024-06-07,120589.45856168328,0.0,5
2024-06-10,122027.06889528989,0.0,5
2024-06-11,121833.20650514361,0.0,5
2024-06-12,125279.42910420948,0.0,5
2024-06-13,127088.91812079628,0.0,5
2024-06-14,126889.92982193638,0.0,5
2024-06-17,129490.24695339944,0.0,5
2024-06-18,131286.64684752846,0.0,5
2024-06-20,128287.26110848456,0.0,5
2024-06-21,127351.10727965663,0.0,5
2024-06-24,124547.01761842424,0.0,5
2024-06-25,126655.85589443569,904.5062286527548,5
2024-06-26,127027.61226412705,904.5062286527548,5
2024-06-27,125895.917943543,904.5062286527548,5
2024-06-28,126586.05454139048,904.5062286527548,5
2024-07-01,127849.82226645987,904.5062286527548,5
2024-07-02,128326.11923360877,0.0,5
2024-07-03,130836.34434777361,0.0,5
2024-07-05,130448.68970437354,0.0,5
2024-07-08,132079.09480282236,0.0,5
2024-07-09,132192.73670971816,0.0,5
2024-07-10,133792.25208414614,0.0,5
2024-07-11,129969.5192152641,0.0,5
2024-07-12,131708.21334240466,0.0,5
2024-07-15,132740.72320351636,0.0,5
2024-07-16,132851.12915486685,0.0,5
2024-07-17,128332.23637017103,0.0,5
2024-07-18,125112.59543433406,0.0,5
2024-07-19,124851.08285424909,0.0,5
2024-07-22,124216.6815850916,0.0,5
2024-07-23,124314.10848282235,0.0,5
2024-07-24,124039.2732389614,267.8215894471902,5
2024-07-25,123466.19639497584,267.8215894471902,5
2024-07-26,124602.1836920278,267.8215894471902,5
2024-07-29,125778.57790507447,267.8215894471902,5
2024-07-30,125827.26597689898,267.8215894471902,5
2024-07-31,126929.55417696174,0.0,5
2024-08-01,127150.73068778418,0.0,5
2024-08-02,126475.31590502625,0.0,5
2024-08-05,123639.60218410293,0.0,5
2024-08-06,124322.4350769054,0.0,5
2024-08-07,122785.8610131437,971.8810606835282,5
2024-08-08,123860.58273742352,971.8810606835282,5
2024-08-09,123766.44147908807,971.8810606835282,5
2024-08-12,124099.19847253688,971.8810606835282,5
2024-08-13,125551.06951631469,971.8810606835282,5
2024-08-14,125854.65987156163,0.0,5
2024-08-15,126764.24040952933,0.0,5
2024-08-16,126912.47411879737,0.0,5
2024-08-19,126496.7295170898,0.0,5
2024-08-20,126710.36602432102,0.0,5
2024-08-21,126671.27200330599,0.0,5
2024-08-22,124868.65505947187,0.0,5
2024-08-23,126375.6933711809,0.0,5
2024-08-26,125541.52819115359,0.0,5
2024-08-27,126333.55333794076,0.0,5
2024-08-28,124754.71577935343,0.0,5
2024-08-29,125451.37388578677,0.0,5
2024-08-30,126280.61360339566,0.0,5
2024-09-03,124705.36702037399,0.0,5
2024-09-04,124964.52408465924,0.0,5
2024-09-05,124434.414743459,0.0,5
2024-09-06,122072.14301704828,0.0,5
2024-09-09,122455.56253398905,0.0,5
2024-09-10,125638.68245185762,0.0,5
2024-09-11,126315.39751786776,0.0,5
2024-09-12,128993.5133035088,0.0,5
2024-09-13,129981.21234930189,0.0,5
2024-09-16,132445.6984636463,0.0,5
2024-09-17,130364.85667772422,0.0,5
2024-09-18,130336.31123390017,0.0,5
2024-09-19,129861.02816724493,0.0,5
2024-09-20,129676.38264670316,0.0,5
2024-09-23,130536.41773732158,0.0,5
2024-09-24,130951.34301068082,0.0,5
2024-09-25,129757.5461455909,0.0,5
2024-09-26,129976.18959144402,0.0,5
2024-09-27,128565.08008363449,0.0,5
2024-09-30,127082.75413236087,0.0,5
2024-10-01,125287.02987876069,0.0,5
2024-10-02,124472.50275314423,0.0,5
2024-10-03,123890.05229639474,0.0,5
2024-10-04,125669.21751497513,0.0,5
2024-10-07,125829.47483402313,0.0,5
2024-10-08,128576.74415008836,0.0,5
2024-10-09,129579.27703680887,0.0,5
2024-10-10,130162.74537198545,0.0,5
2024-10-11,131367.8420593207,0.0,5
2024-10-14,131989.00503906573,0.0,5
2024-10-15,128721.12911564001,0.0,5
2024-10-16,130993.15179426238,0.0,5
2024-10-17,132213.90608225032,0.0,5
2024-10-18,132722.09232610872,0.0,5
2024-10-21,133420.03343991752,0.0,5
2024-10-22,133689.93635816002,0.0,5
2024-10-23,132230.7378399982,0.0,5
2024-10-24,130517.14628171315,0.0,5
2024-10-25,128879.96472608479,0.0,5
2024-10-28,129716.82743715422,0.0,5
2024-10-29,129928.97017874559,0.0,5
2024-10-30,129575.9366983168,0.0,5
2024-10-31,128792.00517187922,0.0,5
2024-11-01,129440.09264289407,0.0,5
2024-11-04,128394.85017108286,0.0,5
2024-11-05,130438.34100250289,0.0,5
2024-11-06,140203.50258692057,0.0,5
2024-11-07,139363.4747413344,0.0,5
2024-11-08,140000.20835587813,0.0,5
2024-11-11,143082.72602947423,0.0,5
2024-11-12,142126.91310655067,0.0,5
2024-11-13,142867.89322312176,0.0,5
2024-11-14,141843.3245145446,375.54079484220387,5
2024-11-15,142048.5286570575,375.54079484220387,5
2024-11-18,141489.33076682506,375.54079484220387,5
2024-11-19,141087.65379546132,375.54079484220387,5
2024-11-20,141330.33201310577,375.54079484220387,5
2024-11-21,144060.25081589457,0.0,5
2024-11-22,145471.09304333027,0.0,5
2024-11-25,146788.6053176566,0.0,5
2024-11-26,147806.85230360593,0.0,5
2024-11-27,147362.18224952678,0.0,5
2024-11-29,148063.0263278445,0.0,5
2024-12-02,146975.72282609448,0.0,5
2024-12-03,146376.19335878047,0.0,5
2024-12-04,149584.3308956171,0.0,5
2024-12-05,148635.66556913982,0.0,5
2024-12-06,149495.46881729076,0.0,5
2024-12-09,147396.15794104288,0.0,5
2024-12-10,147183.96288682113,0.0,5
2024-12-11,151130.53381087253,0.0,5
2024-12-12,149986.32954054957,0.0,5
2024-12-13,150916.34973769326,0.0,5
2024-12-16,151574.4635175378,0.0,5
2024-12-17,152161.4202774511,0.0,5
2024-12-18,145420.76171535612,0.0,5
2024-12-19,145957.78429017274,0.0,5
2024-12-20,146589.26833911327,67.7510533877998,5
2024-12-23,148101.63513901923,67.7510533877998,5
