date,equity,cash,positions
2022-01-03,99950.02498750624,0.0,5
2022-01-04,98097.92786488752,0.0,5
2022-01-05,94099.45181687437,0.0,5
2022-01-06,93163.34742115918,0.0,5
2022-01-07,92191.99391646223,0.0,5
2022-01-10,93149.4853531498,0.0,5
2022-01-11,95341.1589498346,0.0,5
2022-01-12,95555.88737081474,0.0,5
2022-01-13,91313.60649071154,0.0,5
2022-01-14,91545.6090528298,0.0,5
2022-01-18,88058.21359642234,0.0,5
2022-01-19,87751.54710323927,0.0,5
2022-01-20,88716.42705097313,0.0,5
2022-01-21,86246.43214733577,0.0,5
2022-01-24,85097.0933314874,0.0,5
2022-01-25,83927.19258718172,0.0,5
2022-01-26,84470.38931393067,0.0,5
2022-01-27,81930.83162202257,0.0,5
2022-01-28,83160.08076389051,0.0,5
2022-01-31,86420.13442448538,0.0,5
2022-02-01,86975.44825296012,0.0,5
2022-02-02,87827.49432746059,0.0,5
2022-02-03,88466.70333392621,0.0,5
2022-02-04,87974.94684708238,0.0,5
2022-02-07,87948.71438715015,0.0,5
2022-02-08,88235.83683125372,0.0,5
2022-02-09,89691.20194405147,0.0,5
2022-02-10,88176.41235487106,0.0,5
2022-02-11,86145.11537288137,0.0,5
2022-02-14,85912.1512226139,0.0,5
2022-02-15,86697.5964931082,0.0,5
2022-02-16,86794.69531591862,0.0,5
2022-02-17,85469.75758469106,0.0,5
2022-02-18,84023.98037123086,0.0,5
2022-02-22,83461.4958673542,0.0,5
2022-02-23,82338.72130364101,0.0,5
2022-02-24,88920.56049831685,0.0,5
2022-02-25,90439.3054160882,0.0,5
2022-02-28,91502.05517161902,0.0,5
2022-03-01,89354.33335452939,0.0,5
2022-03-02,90854.71958299117,0.0,5
2022-03-03,91381.83356295594,0.0,5
2022-03-04,92376.0518903511,0.0,5
2022-03-07,92123.02814457522,0.0,5
2022-03-08,90131.06597854069,0.0,5
2022-03-09,89194.08865065996,0.0,5
2022-03-10,87536.67460049808,0.0,5
2022-03-11,86283.54613212582,0.0,5
2022-03-14,84874.25798391517,0.0,5
2022-03-15,87931.68530490257,0.0,5
2022-03-16,92271.94782776534,0.0,5
2022-03-17,93613.82566807294,0.0,5
2022-03-18,94246.64816349273,0.0,5
2022-03-21,93341.2517271975,0.0,5
2022-03-22,94349.84914728263,0.0,5
2022-03-23,92942.48207447222,0.0,5
2022-03-24,93522.441128704,0.0,5
2022-03-25,93504.44082067767,0.0,5
2022-03-28,93601.28320803378,0.0,5
2022-03-29,95801.02556015196,0.0,5
2022-03-30,94837.9278748323,0.0,5
2022-03-31,93243.84423852677,0.0,5
2022-04-01,92926.10413540568,0.0,5
2022-04-04,94321.10452551716,0.0,5
2022-04-05,92229.7220999143,0.0,5
2022-04-06,90159.71012675784,0.0,5
2022-04-07,90692.64896,0.0,5
2022-04-08,88801.59993913883,0.0,5
2022-04-11,86833.3761342072,0.0,5
2022-04-12,85801.12254447918,0.0,5
2022-04-13,87633.27498149525,0.0,5
2022-04-14,85617.72001039959,0.0,5
2022-04-18,85734.36301585441,0.0,5
2022-04-19,88180.07088760743,0.0,5
2022-04-20,83801.16181036315,0.0,5
2022-04-21,80526.81342462072,0.0,5
2022-04-22,77701.54990782082,0.0,5
2022-04-25,78166.98024155883,0.0,5
2022-04-26,75482.45175338171,0.0,5
2022-04-27,75211.64941896459,0.0,5
2022-04-28,78651.61810484334,0.0,5
2022-04-29,76225.71531668541,0.0,5
2022-05-02,77322.62600868232,0.0,5
2022-05-03,77986.17411461225,0.0,5
2022-05-04,80877.92996095178,0.0,5
2022-05-05,77223.75120852845,0.0,5
2022-05-06,76856.12237229616,0.0,5
2022-05-09,73906.76529702733,0.0,5
2022-05-10,74163.54930555722,0.0,5
2022-05-11,73120.77413721637,0.0,5
2022-05-12,73214.51979411356,0.0,5
2022-05-13,77397.74498213151,0.0,5
2022-05-16,75257.90896923088,0.0,5
2022-05-17,78453.71965986665,0.0,5
2022-05-18,75444.32533618732,0.0,5
2022-05-19,74643.07470306015,0.0,5
2022-05-20,73384.2841825606,0.0,5
2022-05-23,75064.4742703112,0.0,5
2022-05-24,74757.87179064019,0.0,5
2022-05-25,75217.60930778101,0.0,5
2022-05-26,76804.16462083568,0.0,5
2022-05-27,77544.41767872259,0.0,5
2022-05-31,76445.77857241842,0.0,5
2022-06-01,76256.87421794563,0.0,5
2022-06-02,75950.75163218704,0.0,5
2022-06-03,75945.97515809664,0.0,5
2022-06-06,76244.2234848105,0.0,5
2022-06-07,78076.12614066136,0.0,5
2022-06-08,77788.31809890167,0.0,5
2022-06-09,74716.78117167744,0.0,5
2022-06-10,72579.16922629537,0.0,5
2022-06-13,69141.02523139321,0.0,5
2022-06-14,68979.35815095769,0.0,5
2022-06-15,70956.79694814101,0.0,5
2022-06-16,68019.4305454077,0.0,5
2022-06-17,68700.74698255418,0.0,5
2022-06-21,70274.55388855386,0.0,5
2022-06-22,69993.16035514562,0.0,5
2022-06-23,70827.26159154205,0.0,5
2022-06-24,72495.31178358554,0.0,5
2022-06-27,71907.56585638633,0.0,5
2022-06-28,70772.2293565847,0.0,5
2022-06-29,69677.30684970462,0.0,5
2022-06-30,69094.88666994093,0.0,5
2022-07-01,68434.87032520113,0.0,5
2022-07-05,67754.81996926713,108.4697838138413,5
2022-07-06,67810.40054207304,108.4697838138413,5
2022-07-07,70144.48796174415,108.4697838138413,5
2022-07-08,70102.97435786504,108.4697838138413,5
2022-07-11,68282.34594491197,108.4697838138413,5
2022-07-12,68273.37721771834,0.0,5
2022-07-13,68049.96284801088,0.0,5
2022-07-14,67457.25218949985,0.0,5
2022-07-15,70036.82212462678,0.0,5
2022-07-18,69410.12459656651,0.0,5
2022-07-19,71909.90277134834,0.0,5
2022-07-20,73415.92235150658,0.0,5
2022-07-21,74053.64128471226,0.0,5
2022-07-22,73362.75569215583,0.0,5
2022-07-25,74039.8634121226,0.0,5
2022-07-26,72948.654361632,0.0,5
2022-07-27,77049.41323159894,0.0,5
2022-07-28,76414.05495030797,0.0,5
2022-07-29,77081.80092504671,0.0,5
2022-08-01,76946.61087639949,0.0,5
2022-08-02,76589.2142899494,0.0,5
2022-08-03,76271.24807906053,0.0,5
2022-08-04,75797.8324619856,0.0,5
2022-08-05,77405.87013542213,0.0,5
2022-08-08,77998.55921674782,0.0,5
2022-08-09,77846.30450323847,0.0,5
2022-08-10,80569.48292252119,0.0,5
2022-08-11,81262.93042092133,0.0,5
2022-08-12,82587.6713476686,0.0,5
2022-08-15,82463.50789225282,0.0,5
2022-08-16,81979.97958458767,0.0,5
2022-08-17,81676.94413799816,0.0,5
2022-08-18,81934.7848668051,0.0,5
2022-08-19,81382.72643201398,0.0,5
2022-08-22,79879.98336905292,0.0,5
2022-08-23,79486.72027442955,0.0,5
2022-08-24,79951.32533150993,0.0,5
2022-08-25,81247.01989173068,0.0,5
2022-08-26,77771.03587931793,0.0,5
2022-08-29,76945.66142835861,0.0,5
2022-08-30,76357.0952586136,0.0,5
2022-08-31,76115.8342724836,0.0,5
2022-09-01,76617.5800141268,0.0,5
2022-09-02,75262.59550674414,0.0,5
2022-09-06,74824.64455412925,0.0,5
2022-09-07,75903.41938956059,0.0,5
2022-09-08,77035.52431535271,0.0,5
2022-09-09,79463.76512817029,0.0,5
2022-09-12,80574.10081384318,0.0,5
2022-09-13,78153.74864008976,0.0,5
2022-09-14,80084.10365483066,0.0,5
2022-09-15,78725.1240614215,0.0,5
2022-09-16,77850.71651427721,0.0,5
